"","(Intercept)","depth","pH","silicate","temp","df","logLik","AICc","delta","weight","Model"
"1",3.09536073835028,NA,NA,NA,NA,2,-32.1262845091628,69.585902351659,5.45463893500884,0.549347153202604,"BM"
"9",1.84035680245264,NA,NA,NA,0.0954046404442697,3,-31.8438987430608,72.6877974861215,8.55653406947141,0.116487388250195,"BM"
"2",2.91747498436537,0.00676153294555492,NA,NA,NA,3,-32.1108073870611,73.2216147741221,9.09035135747199,0.0891994048770987,"BM"
"3",2.64965489085439,NA,0.693874930080156,NA,NA,3,-32.1201552567733,73.2403105135467,9.10904709689655,0.0883694655875855,"BM"
"5",3.1053146109015,NA,NA,-0.000302589481083613,NA,3,-32.1262586585858,73.2525173171716,9.12125390052144,0.0878317538358072,"BM"
"13",-1.0136651904829,NA,NA,0.0461685643142,0.196911654565556,4,-31.5324576870551,76.779201088396,12.6479376717459,0.0150605871748471,"BM"
"11",-2.38097697144465,NA,5.26865982973913,NA,0.159036365587071,4,-31.5972975790107,76.9088808723072,12.7776174556571,0.0141150459724082,"BM"
"10",1.31035499768409,0.0144025505015659,NA,NA,0.106890591864288,4,-31.7741739535328,77.2626336213513,13.1313702047012,0.0118267621720506,"BM"
"6",2.98825090973643,0.00750997085836889,NA,-0.00275009755793636,NA,4,-32.1088561365147,77.9319979873152,13.800734570665,0.00846282262159182,"BM"
"4",2.96863964098451,0.00715996978432894,-0.0959719500039284,NA,NA,4,-32.1107437002478,77.9357731147813,13.8045096981312,0.00844686357113275,"BM"
"7",2.61111077472837,NA,0.917585655588225,-0.00319662334172001,NA,4,-32.1179043359841,77.9500943862539,13.8188309696037,0.00838659469723407,"BM"
"15",-4.68999925403942,NA,4.82334998972476,0.0431239471650442,0.248471244965845,5,-31.3167405876633,82.6334811753266,18.5022177586765,0.000806493990465814,"BM"
"14",-1.18735962983558,0.00909025381578415,NA,0.0435670441070623,0.198441331955246,5,-31.5043209117541,83.0086418235081,18.877378406858,0.000668553298641021,"BM"
"12",-2.90570886314045,-0.00744569086978409,6.26555359114265,NA,0.165138356980409,5,-31.5869973110081,83.1739946220162,19.0427312053661,0.000615502940369231,"BM"
"8",2.92796989915808,0.00705826228993736,0.124996662224053,-0.00299712042902823,NA,5,-32.1087638136147,84.2175276272294,20.0862642105793,0.000365283301207096,"BM"
"16",-5.9006458492428,-0.0148830790908244,6.78482789169443,0.0461451704940442,0.266934147299778,6,-31.2749166673909,91.3498333347819,27.2185699181317,1.03245067616222e-05,"BM"
"17",3.71496728431079,NA,NA,NA,NA,3,-27.5656317083251,64.1312634166501,0,0.705450711488416,"OUrandomRoot"
"31",5.06565864094645,NA,-2.1067061748831,NA,NA,4,-27.485132204545,68.6845501233757,4.55328670672554,0.0723990771132271,"OUrandomRoot"
"21",3.88471194127377,-0.00530484745112537,NA,NA,NA,4,-27.5461067211202,68.8064991565261,4.67523573987596,0.0681164701052852,"OUrandomRoot"
"51",3.92930254436065,NA,NA,-0.00740823152172154,NA,4,-27.5481248466105,68.8105354075067,4.67927199085662,0.067979141140806,"OUrandomRoot"
"91",3.46503812942216,NA,NA,NA,0.0191645548728261,4,-27.5532909481467,68.8208676105791,4.68960419392903,0.0676288595694541,"OUrandomRoot"
"41",5.57862880803813,0.00765997992544709,-3.2840735905603,NA,NA,5,-27.4686651103643,74.9373302207286,10.8060668040784,0.00317657478158155,"OUrandomRoot"
"111",5.38197740862523,NA,-2.37323147877952,NA,-0.0112854715889528,5,-27.4820025570464,74.9640051140927,10.8327416974426,0.00313448866932058,"OUrandomRoot"
"71",5.05931581479891,NA,-2.04036876538527,-0.00124845712895422,NA,5,-27.4847103738034,74.9694207476069,10.8381573309568,0.00312601252947279,"OUrandomRoot"
"61",3.98074744230878,-0.00384544016765234,NA,-0.00494507891759283,NA,5,-27.5397674957647,75.0795349915294,10.9482715748793,0.0029585554281471,"OUrandomRoot"
"101",3.77111565717252,-0.00439924641972986,NA,NA,0.00647793071693958,5,-27.5452720288959,75.0905440577918,10.9592806411417,0.00294231470158867,"OUrandomRoot"
"131",3.85346390324543,NA,NA,-0.00646886036707939,0.00372926127365503,5,-27.5479375182453,75.0958750364906,10.9646116198405,0.00293448243613642,"OUrandomRoot"
"81",5.60665812575306,0.0082923172115814,-3.22071056136169,-0.00304169973880769,NA,6,-27.466267206935,83.7325344138701,19.60127099722,3.90935185001369e-05,"OUrandomRoot"
"121",5.62171937005443,0.0074380246139388,-3.29902117250117,NA,-0.00206769206929702,6,-27.4685721151934,83.7371442303867,19.6058808137366,3.90035152909147e-05,"OUrandomRoot"
"151",5.85035690221343,NA,-2.39389203308627,-0.00764464590074421,-0.0294084961315768,6,-27.4743636300998,83.7487272601997,19.6174638435496,3.87782787107751e-05,"OUrandomRoot"
"141",4.26169667942519,-0.00491145379152153,NA,-0.00756177036915573,-0.0131189417611384,6,-27.5381129383384,83.8762258766769,19.7449624600268,3.63833391640992e-05,"OUrandomRoot"
"161",6.02651245599333,0.00706437399889356,-3.27187499977683,-0.00682675377910236,-0.0185765016846622,7,-27.4624512721598,96.9249025443196,32.7936391276695,5.33848981477941e-08,"OUrandomRoot"
